"","robot_type","suit_age","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","1","adults",0.481322056216011,0.134158757787395,Inf,0.12737673768281,0.835267374749213
"2","2","adults",-2.91585150367998,0.196669205163445,Inf,-3.43471546467133,-2.39698754268863
"3","1","ageneither",-2.34607937425565,0.169239410092295,Inf,-2.79257647889056,-1.89958226962074
"4","2","ageneither",-1.52669043126284,0.145866744973933,Inf,-1.9115244321487,-1.14185643037698
"5","1","children",0.679831515487889,0.135413777552788,Inf,0.322575131930284,1.03708789904549
"6","2","children",1.14676854200489,0.139919539380484,Inf,0.777624799532814,1.51591228447697
