"","robot_type","suitgroup","n","mean","sd","se"
"1","1","suitgroups",720,0.625,0.484459465357432,0.0180547382813737
"2","1","suitindivgroupneither",720,0.126388888888889,0.332518126940838,0.0123922189265103
"3","1","suitindividual",720,0.554166666666667,0.497402851481604,0.0185371098019183
"4","2","suitgroups",720,0.229166666666667,0.420588864624228,0.0156744215313205
"5","2","suitindivgroupneither",720,0.193055555555556,0.394970602905628,0.014719685286851
"6","2","suitindividual",720,0.680555555555556,0.466585528412265,0.0173886159807914
