"","robot_type","preference","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","1","preference_student",-1.50434016004593,0.358033783578949,Inf,-2.39860310131565,-0.610077218776216
"2","2","preference_student",-3.17406563537407,0.385297782182296,Inf,-4.13642601520974,-2.21170525553841
"3","1","preference_teacher",-1.56913740434682,0.358191700343449,Inf,-2.46379477518373,-0.674480033509909
"4","2","preference_teacher",-3.04124126412584,0.383218796364239,Inf,-3.99840894970252,-2.08407357854916
