"","robot_type","suit_group","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","1","groups",0.542099065070781,0.104434982071948,Inf,0.26657271401405,0.817625416127512
"2","2","groups",-1.28366587528826,0.113603458258784,Inf,-1.58338102533161,-0.983950725244913
"3","1","indivgroupneither",-2.03817429921271,0.133828822490439,Inf,-2.39124916354894,-1.68509943487648
"4","2","indivgroupneither",-1.50988496093207,0.11831229877355,Inf,-1.82202324371314,-1.197746678151
"5","1","individual",0.228143866471118,0.102789159828449,Inf,-0.0430403820808519,0.499328115023088
"6","2","individual",0.801617205487508,0.106767533615545,Inf,0.519936983355122,1.08329742761989
