"","robot_type","suit_role","emmean","SE","df","asymp.LCL","asymp.UCL"
"1","1","novice",-1.65952249870413,0.104209873056295,Inf,-1.94447072283785,-1.37457427457041
"2","2","novice",-0.199439807807767,0.0794690708878656,Inf,-0.416737554738339,0.0178579391228055
"3","1","peer",-1.50325020128897,0.0993467545945565,Inf,-1.77490086609569,-1.23159953648224
"4","2","peer",-1.13941382450996,0.0909001876166989,Inf,-1.38796846021907,-0.890859188800845
"5","1","teacher",-0.780417783033739,0.0838110805894074,Inf,-1.00958818576303,-0.551247380304447
"6","2","teacher",-2.30522832731776,0.131505027258985,Inf,-2.66481156912693,-1.9456450855086
"7","1","tutor",-1.09870097350984,0.0893220349972085,Inf,-1.34294035795583,-0.854461589063848
"8","2","tutor",-1.95950422396601,0.115794670892065,Inf,-2.27612955770016,-1.64287889023187
