"","robot_type","suitage","n","mean","sd","se"
"1","1","suitadults",720,0.611111111111111,0.487836914869298,0.0181806083930255
"2","1","suitageneither",720,0.0972222222222222,0.29646607586184,0.0110486383108281
"3","1","suitchildren",720,0.654166666666667,0.475969839275411,0.0177383485976578
"4","2","suitadults",720,0.0555555555555556,0.229220659968894,0.00854254962563021
"5","2","suitageneither",720,0.1875,0.390583707831453,0.0145561953602508
"6","2","suitchildren",720,0.75,0.433313718752969,0.0161486488452477
