"","robot_type","suitrole","n","mean","sd","se"
"1","1","suitnovice",720,0.1625,0.369165317965913,0.0137579790984518
"2","1","suitpeer",720,0.184722222222222,0.388341834357518,0.0144726456688396
"3","1","suitteacher",720,0.316666666666667,0.465499567142372,0.0173481445937845
"4","1","suittutor",720,0.252777777777778,0.43490674018995,0.0162080172489595
"5","2","suitnovice",720,0.451388888888889,0.497977287090219,0.0185585177530776
"6","2","suitpeer",720,0.245833333333333,0.430879522286693,0.0160579316990947
"7","2","suitteacher",720,0.0930555555555556,0.29071222735654,0.01083420503766
"8","2","suittutor",720,0.126388888888889,0.332518126940838,0.0123922189265103
